,Source,Date,Tweets Ago,Text,Compound,Positive,Neutral,Negative
0,BBCWorld,Mon Jan 15 10:55:50 +0000 2018,1,Australian Open 2018: Rafael Nadal beats Victor Estrella Burgos in first round https://t.co/SjFbnQrE88,0.0,0.0,1.0,0.0
1,BBCWorld,Mon Jan 15 10:52:35 +0000 2018,2,Singapore recruits swanbots to test water quality https://t.co/VYefO220pf,0.0,0.0,1.0,0.0
2,BBCWorld,Mon Jan 15 10:36:42 +0000 2018,3,Car hurls into upper floor of California building https://t.co/GVdFScNzPy,0.0,0.0,1.0,0.0
3,BBCWorld,Mon Jan 15 10:20:32 +0000 2018,4,Netanyahu and Modi praise 'new era' in India -Israel ties https://t.co/LLTKpTG433,0.5574,0.265,0.735,0.0
4,BBCWorld,Mon Jan 15 10:03:49 +0000 2018,5,Twelve hurt in Russia knife fight at Perm school https://t.co/gw5XeCiB0O,-0.7184,0.0,0.571,0.429
5,BBCWorld,Mon Jan 15 09:55:37 +0000 2018,6,"RT @bbctennis: Rafa Nadal is into the next round of the #AusOpen! 

He cruises to a 6-1, 6-1, 6-1 win over Victor Estrella Burgos.

#bbcten…",0.6239,0.151,0.849,0.0
6,BBCWorld,Mon Jan 15 09:55:21 +0000 2018,7,"RT @BBCSport: The man who invented champagne-spraying celebrations on the podium.

Formula 1 legend Dan Gurney has died aged 86: https://t.…",-0.7351,0.0,0.744,0.256
7,BBCWorld,Mon Jan 15 09:47:19 +0000 2018,8,"Referee aims kick at player, then sends him off https://t.co/IpahszerCa",0.0,0.0,1.0,0.0
8,BBCWorld,Mon Jan 15 08:08:38 +0000 2018,9,Florida casino boat bursts into flames https://t.co/Ht5fm8cZtd,0.0,0.0,1.0,0.0
9,BBCWorld,Mon Jan 15 08:05:44 +0000 2018,10,Catherine Deneuve apologises to sex assault victims https://t.co/CTIWa0Hf5k,-0.6486,0.14,0.388,0.473
10,BBCWorld,Mon Jan 15 07:30:20 +0000 2018,11,"RT @BBCSport: 2017 runner-up Venus Williams is out in the first round at the #AusOpen.

What a moment for Belinda Bencic. ?

? https://t.co…",0.0,0.0,1.0,0.0
11,BBCWorld,Mon Jan 15 06:24:58 +0000 2018,12,"RT @BBCBreaking: Internal ceiling collapses at Jakarta stock exchange building, with some reports of injuries https://t.co/yqFghL3nbA",-0.296,0.0,0.872,0.128
12,BBCWorld,Mon Jan 15 06:24:54 +0000 2018,13,RT @BBCBreaking: Images from central Jakarta after reported ceiling collapse in lobby of Indonesian stock exchange: https://t.co/47bbW9fFKU…,-0.4767,0.057,0.777,0.166
13,BBCWorld,Mon Jan 15 06:21:50 +0000 2018,14,Baghdad suicide double suicide attack kills many https://t.co/xxtWEg9DYw,-0.9485,0.0,0.204,0.796
14,BBCWorld,Mon Jan 15 06:18:49 +0000 2018,15,Jakarta stock exchange ceiling collapses https://t.co/JFv7P295uF,-0.296,0.0,0.694,0.306
15,BBCWorld,Mon Jan 15 04:45:24 +0000 2018,16,Aziz Ansari responds to assault allegation https://t.co/xNx3hPMii5,-0.5859,0.0,0.612,0.388
16,BBCWorld,Mon Jan 15 03:53:27 +0000 2018,17,RT @BBCIndia: Moshe Holtzberg: The Israeli boy who survived 2008 Mumbai attack https://t.co/6Vsu0jlWjt,0.0516,0.19,0.632,0.178
17,BBCWorld,Mon Jan 15 03:51:45 +0000 2018,18,RT @SallyBundockBBC: Apparently it’s #bluemonday2018 - “the most depressing day of the year”. I brought in cup cakes and banana bread for t…,-0.4391,0.0,0.874,0.126
18,BBCWorld,Mon Jan 15 02:54:22 +0000 2018,19,RT @BBCNewsAsia: North and South Korea begin talks on Pyongyang's plan to send art troupe to Winter Olympics: https://t.co/vYpyhcw1Q4,0.0,0.0,1.0,0.0
19,BBCWorld,Mon Jan 15 02:42:25 +0000 2018,20,North and South Korea discuss sending art troupe to Winter Olympics https://t.co/PRWrX5OPSx,0.0,0.0,1.0,0.0
20,BBCWorld,Mon Jan 15 10:55:50 +0000 2018,21,Australian Open 2018: Rafael Nadal beats Victor Estrella Burgos in first round https://t.co/SjFbnQrE88,0.0,0.0,1.0,0.0
21,BBCWorld,Mon Jan 15 10:52:35 +0000 2018,22,Singapore recruits swanbots to test water quality https://t.co/VYefO220pf,0.0,0.0,1.0,0.0
22,BBCWorld,Mon Jan 15 10:36:42 +0000 2018,23,Car hurls into upper floor of California building https://t.co/GVdFScNzPy,0.0,0.0,1.0,0.0
23,BBCWorld,Mon Jan 15 10:20:32 +0000 2018,24,Netanyahu and Modi praise 'new era' in India -Israel ties https://t.co/LLTKpTG433,0.5574,0.265,0.735,0.0
24,BBCWorld,Mon Jan 15 10:03:49 +0000 2018,25,Twelve hurt in Russia knife fight at Perm school https://t.co/gw5XeCiB0O,-0.7184,0.0,0.571,0.429
25,BBCWorld,Mon Jan 15 09:55:37 +0000 2018,26,"RT @bbctennis: Rafa Nadal is into the next round of the #AusOpen! 

He cruises to a 6-1, 6-1, 6-1 win over Victor Estrella Burgos.

#bbcten…",0.6239,0.151,0.849,0.0
26,BBCWorld,Mon Jan 15 09:55:21 +0000 2018,27,"RT @BBCSport: The man who invented champagne-spraying celebrations on the podium.

Formula 1 legend Dan Gurney has died aged 86: https://t.…",-0.7351,0.0,0.744,0.256
27,BBCWorld,Mon Jan 15 09:47:19 +0000 2018,28,"Referee aims kick at player, then sends him off https://t.co/IpahszerCa",0.0,0.0,1.0,0.0
28,BBCWorld,Mon Jan 15 08:08:38 +0000 2018,29,Florida casino boat bursts into flames https://t.co/Ht5fm8cZtd,0.0,0.0,1.0,0.0
29,BBCWorld,Mon Jan 15 08:05:44 +0000 2018,30,Catherine Deneuve apologises to sex assault victims https://t.co/CTIWa0Hf5k,-0.6486,0.14,0.388,0.473
30,BBCWorld,Mon Jan 15 07:30:20 +0000 2018,31,"RT @BBCSport: 2017 runner-up Venus Williams is out in the first round at the #AusOpen.

What a moment for Belinda Bencic. ?

? https://t.co…",0.0,0.0,1.0,0.0
31,BBCWorld,Mon Jan 15 06:24:58 +0000 2018,32,"RT @BBCBreaking: Internal ceiling collapses at Jakarta stock exchange building, with some reports of injuries https://t.co/yqFghL3nbA",-0.296,0.0,0.872,0.128
32,BBCWorld,Mon Jan 15 06:24:54 +0000 2018,33,RT @BBCBreaking: Images from central Jakarta after reported ceiling collapse in lobby of Indonesian stock exchange: https://t.co/47bbW9fFKU…,-0.4767,0.057,0.777,0.166
33,BBCWorld,Mon Jan 15 06:21:50 +0000 2018,34,Baghdad suicide double suicide attack kills many https://t.co/xxtWEg9DYw,-0.9485,0.0,0.204,0.796
34,BBCWorld,Mon Jan 15 06:18:49 +0000 2018,35,Jakarta stock exchange ceiling collapses https://t.co/JFv7P295uF,-0.296,0.0,0.694,0.306
35,BBCWorld,Mon Jan 15 04:45:24 +0000 2018,36,Aziz Ansari responds to assault allegation https://t.co/xNx3hPMii5,-0.5859,0.0,0.612,0.388
36,BBCWorld,Mon Jan 15 03:53:27 +0000 2018,37,RT @BBCIndia: Moshe Holtzberg: The Israeli boy who survived 2008 Mumbai attack https://t.co/6Vsu0jlWjt,0.0516,0.19,0.632,0.178
37,BBCWorld,Mon Jan 15 03:51:45 +0000 2018,38,RT @SallyBundockBBC: Apparently it’s #bluemonday2018 - “the most depressing day of the year”. I brought in cup cakes and banana bread for t…,-0.4391,0.0,0.874,0.126
38,BBCWorld,Mon Jan 15 02:54:22 +0000 2018,39,RT @BBCNewsAsia: North and South Korea begin talks on Pyongyang's plan to send art troupe to Winter Olympics: https://t.co/vYpyhcw1Q4,0.0,0.0,1.0,0.0
39,BBCWorld,Mon Jan 15 02:42:25 +0000 2018,40,North and South Korea discuss sending art troupe to Winter Olympics https://t.co/PRWrX5OPSx,0.0,0.0,1.0,0.0
